고시년도,회차,개최일자,안건일련번호,소관부서,안건제목,심의결과,개요
2011,15,2011-09-21 0:00:00,3,주택공급과,방배경남아파트주택재건축정비구역지정,보류,"○위치:서초구방배동1028-1번지
 ○면적: 37,361.7㎡
 ○내용:용도지역상향(제2종⇒제3종),예정법적상한용적률결정(299.86%)"
2004,3,2004-02-18 0:00:00,2,시설계획과,도시계획시설(시장)변경(일부폐지)결정,보류,"○동작구흑석동97-2일대
 -면적: 8,672㎡
 →3,290㎡(감:5,382㎡)"
2004,3,2004-02-18 0:00:00,4,시설계획과,자연녹지지역내도시계획시설(학교)용적률완화,보류,"○노원구상계동205-4일대
 (한국성서대학교)
 -내용:용적률완화
 (기준50%이하→
 변경73%이하)"
2004,3,2004-02-18 0:00:00,5,시설계획과,도시계획시설(학교)결정,보류,"○성북구성북동292-1일대
 -면 적: 2,641㎡
 -학교건축규모
 ·건폐율25%이하,
 용적률70%이하,
 높이3층(12m)이하"
2004,3,2004-02-18 0:00:00,8,재래시장대책반,시장재건축사업에따른층수완화,보류,"&#9702;서초구방배동923-6일대
 -면적: 3,300.6㎡"
2004,3,2004-02-18 0:00:00,9,주택기획과,상신아파트재건축사업을위한정비구역지정,보류,"&#9702;동작구사당동1000-8일대
 -면적: 21,026.4㎡"
2004,3,2004-02-18 0:00:00,15,주거정비과,신문로2구역제5지구도시환경 정비구역변경지정,보류,"&#9702;종로구신문로2가91-4번지일대
 -면적: 5,731.9㎡
 -변경:사업시행면적및건축계획"
2002,7,2002-09-06 0:00:00,5,시설계획과,도시계획시설(공원)변경결정,보류,"은평구불광동236-5일대
 -면적: 496㎡→697㎡"
2002,8,2002-10-16 0:00:00,3,시설계획과,"도시계획시설(학교)결정및
 세부조성계획결정자문",보류,"종로구평동85-15번지(적십자간호대학)
 -면적: 2,106㎡
 -건축계획: 1동증축(7층)"
2002,8,2002-10-16 0:00:00,4,시설계획과,도시계획시설(공원)변경결정,보류,"은평구불광동236-5번지일대
 -면적: 496㎡→697㎡
 (증201㎡)"
2002,9,2002-11-20 0:00:00,8,시설계획과,"도시계획시설(공공청사·공원)
 변경및도시계획용도지역
 변경결정",보류,"종로구삼청동산2-16,산2-63일대
 가.도시계획시설위치변경
 -공 원: 378,440㎡
 (삼청근린공원)
 -공공청사: 2,701.2㎡
 나.용도지역변경(2,701.2㎡)
 다.높이제한완화
 - 3층(12m)이하→
 4층(16m)이하"
2003,1,2003-02-19 0:00:00,26,주거정비과,한남주택재개발구역지정,보류,"용산구한남동573번지일대
 -면적: 18,303㎡"
2003,6,2003-06-18 0:00:00,7,시설계획과,도시계획시설(시장)변경결정,보류,"강남구논현동108번지
 (한성시장)
 -시장폐지(면적: 1,682.6㎡)
 -일반주거지역→
 제2종일반주거지역(12층이하)"
2010,12,2010-06-16 0:00:00,7,주거정비과,상봉1주택재건축정비계획및정비구역지정,보류,"○위치:중랑구상봉동314-1
 ○면적: 32,149㎡
 ○내용:용적률249,73% 평균층수18.04층"
2010,12,2010-06-16 0:00:00,8,주거정비과,응암1주택재건축정비계획및정비구역변경지정,보류,"○위치:은평구응암동620-1
 ○면적: 47,666㎡
 ○내용:용적률249.9%,층수평균18층이하"
